week,community,degree_centrality,eigenvector_centrality,closeness_centrality,unweighted_eigenvector_centrality
2016-07-31,Trump,0.010663924050632911,0.06127965834103515,0.32528940125536626,0.08157625729266607
2016-07-31,Clinton,0.011948591549295774,0.002152272765439819,0.33145494946116466,0.017819243185838444
2016-07-31,others,0.009842000000000002,0.0027967294802039274,0.3333806216428847,0.01441571151606725
2016-08-07,Trump,0.01266696202531646,0.06283969750013921,0.3317409853498043,0.07912215314367493
2016-08-07,Clinton,0.0138885393258427,0.003309588502592577,0.3353515099228367,0.027026530535420517
2016-08-07,others,0.010467187499999999,0.005608670476426707,0.33559889076684857,0.021755970884476224
2016-08-14,Trump,0.01201367088607595,0.05996797015355857,0.32918624006820374,0.08604872071392627
2016-08-14,Clinton,0.011427922077922079,0.0017921834864223882,0.3316846261959244,0.014782805169258685
2016-08-14,others,0.010525909090909093,0.003570903182305095,0.33366291504161044,0.015134762557876635
2016-08-21,Trump,0.012052151898734178,0.06304613921992214,0.32725089592271706,0.08297642141489027
2016-08-21,Clinton,0.010217816091954024,0.0017635303130397345,0.33124052452425207,0.012206099737949817
2016-08-21,others,0.00991529411764706,0.004126742967266755,0.33313174120722727,0.014857542462336823
2016-08-28,Trump,0.01194367088607595,0.0639945172453277,0.32669998851347765,0.0834109825430272
2016-08-28,Clinton,0.010722500000000001,0.0020265055102642133,0.33134495155151117,0.015530043621064622
2016-08-28,others,0.010644848484848484,0.0050544972673143744,0.33355155097231115,0.018487199823360983
2016-09-04,Trump,0.012256708860759495,0.06299036123147296,0.3281676203809045,0.07428905818950851
2016-09-04,Clinton,0.011368217821782179,0.002402073013677828,0.3325183148296834,0.013088235217139305
2016-09-04,others,0.008966499999999999,0.005101373931538185,0.3340093679015694,0.01731743472952011
2016-09-11,Trump,0.01245721518987342,0.06349893521733528,0.32950201196520407,0.07991648713140949
2016-09-11,Clinton,0.01254931034482759,0.004305056088362118,0.3334162223174423,0.019368208489902835
2016-09-11,others,0.010202058823529411,0.005363247666533,0.33443357265758733,0.01657974429708002
2016-09-18,Trump,0.012174810126582279,0.06460999684617029,0.3296280134157056,0.07490808714805425
2016-09-18,Clinton,0.013353516483516481,0.0026120607084131183,0.33301520405659896,0.031343157756582814
2016-09-18,others,0.008489999999999998,0.004515808176118105,0.3333459812406669,0.018655713427809806
2016-09-25,Trump,0.013002625,0.0013547961728338522,0.3309311991581523,0.03845136456244176
2016-09-25,Clinton,0.01588162162162162,0.03789350866186412,0.3346031023573066,0.06672293431033836
2016-09-25,others,0.010437173913043479,0.00469387023347006,0.3346824526870052,0.022944316774963548
2016-10-02,Trump,0.013136708860759497,0.002037406217068839,0.33023036890755647,0.07871299772914044
2016-10-02,Clinton,0.014269342105263158,0.03908601600368533,0.3347356264784861,0.02251025251488982
2016-10-02,others,0.010175333333333333,0.005075114655905229,0.3340368607892969,0.014723876703147768
2016-10-09,Trump,0.015183875,0.001098999041992012,0.33302233895800726,0.07784009882418144
2016-10-09,Clinton,0.015766235294117647,0.02954189288092442,0.33589533671929683,0.016949576132078766
2016-10-09,others,0.010123428571428571,0.002825619130867068,0.3359807059952724,0.011798875262959252
2016-10-16,Trump,0.013848227848101266,0.056094327005563605,0.33146037706097137,0.07880648967629704
2016-10-16,Clinton,0.014633209876543209,0.0023925127038704618,0.3348256108718383,0.021776069164180536
2016-10-16,others,0.011237750000000001,0.0031287502906454934,0.3353875215062373,0.015821914623462368
2016-10-23,Trump,0.013246625000000001,0.061105764120841496,0.3298933745751333,0.07944901421330527
2016-10-23,Clinton,0.012595131578947372,0.002457739813334206,0.3324840843103255,0.01225004178653068
2016-10-23,others,0.01119727272727273,0.00387143803922856,0.3343885409622584,0.013535791617727394
2016-10-30,Trump,0.014842250000000001,0.05761474752678666,0.3321523901275222,0.08010951096655974
2016-10-30,Clinton,0.014176380952380952,0.002736535273830272,0.33590694546983246,0.013886357376326021
2016-10-30,others,0.011940666666666664,0.003459900046478685,0.33679542794334427,0.016265456016601204
